#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1691392225898591000,0.000107589,-0.000284725,-0.000100365,-0.140914,0.245848,-9.80985
1691392225906854400,0.00019905,-0.00072008,-0.000197402,-0.196184,0.282742,-9.80013
1691392225915180100,-0.000802332,0.000171009,-0.00103607,-0.21208,0.221073,-9.81394
1691392225923550700,-0.000683803,0.00186016,0.000228825,-0.182118,0.315913,-9.76881
1691392225931848700,0.00100464,0.00162761,0.00125954,-0.168615,0.266329,-9.78232
1691392225940195400,0.000491379,-1.19147e-05,0.00100928,-0.216102,0.279186,-9.86747
1691392225948522100,-6.08804e-05,-0.00105415,8.63724e-05,-0.239949,0.253754,-9.80616
1691392225956832500,4.41194e-05,-0.000809547,-0.000655633,-0.205213,0.26479,-9.81221
1691392225966072000,0.00057513,0.00101422,-0.000297732,-0.20691,0.249845,-9.79263
1691392225973563700,-0.000811573,-0.000719535,0.00041319,-0.217775,0.245235,-9.88792
1691392225982100300,0.00158514,-0.000993102,0.000533634,-0.199893,0.269311,-9.82786
1691392225990234300,0.00169528,0.000296644,-0.000746483,-0.178962,0.272494,-9.78579
1691392225998513000,-0.000220349,-0.000310674,-0.000931502,-0.185078,0.252369,-9.82802
1691392226006706800,0.000608441,-0.000154374,0.000209969,-0.222711,0.241471,-9.78864
1691392226015211500,-0.000224702,-0.000285036,0.000973569,-0.181566,0.27574,-9.79475
1691392226023382600,0.000438647,-0.00111017,-0.00093442,-0.212052,0.270196,-9.80728
1691392226031830900,-0.00146742,0.000165338,-0.00145895,-0.206304,0.260651,-9.84666
1691392226040148000,0.00118948,-0.000233198,-0.000754014,-0.157612,0.274599,-9.77826
1691392226048538300,-0.000867463,0.00089624,0.000703581,-0.1677,0.27612,-9.82224
1691392226056818200,0.000737335,0.00064261,0.00150595,-0.175644,0.205389,-9.80106
1691392226065220500,0.000664869,-5.17857e-05,0.000521787,-0.217878,0.268726,-9.76991
1691392226073440100,-0.000127068,-0.00131395,-0.000266014,-0.158093,0.253145,-9.81472
1691392226081827100,-0.000914486,-0.00128956,-0.000969487,-0.255463,0.240647,-9.8092
1691392226090114600,0.00216275,0.000323752,0.000230313,-0.211228,0.300653,-9.82585
1691392226098489800,0.00016984,-0.00128126,-0.000381135,-0.187206,0.297884,-9.81854
1691392226106779400,-0.000851389,-0.000527156,0.000141129,-0.227234,0.269763,-9.82194
1691392226115268100,0.000438712,-0.0036418,0.000418821,-0.21492,0.234663,-9.80346
1691392226123655500,-0.00120196,-0.0019087,0.00193968,-0.214401,0.254293,-9.80567
1691392226131794700,0.000796252,0.00153849,-0.000466268,-0.200637,0.28066,-9.81526
1691392226140197100,-1.32106e-05,0.000433161,-0.00237159,-0.164385,0.284704,-9.8095
1691392226148470400,0.000787129,0.000925095,0.00035286,-0.232076,0.272776,-9.78484
1691392226156749800,-0.000368883,9.7352e-05,-0.000127639,-0.204849,0.270806,-9.80383
1691392226165060300,0.000638373,-0.000327668,-0.00136301,-0.171866,0.262916,-9.81652
1691392226173403800,0.000358972,0.0012391,0.000330208,-0.218172,0.250283,-9.7901
1691392226181726400,-1.64234e-05,-0.00173638,0.00190291,-0.200982,0.252186,-9.79595
1691392226190065800,-0.000143719,-0.00150886,0.000573177,-0.193609,0.295439,-9.8202
1691392226198395400,-0.000842385,-0.000788813,-0.000157816,-0.23738,0.243085,-9.79012
1691392226206724700,-0.0005989,0.000169205,0.000353151,-0.240628,0.223659,-9.80168
1691392226215179300,-0.00147094,0.000653967,-0.00199351,-0.197038,0.260518,-9.79313
1691392226223400900,-0.000445962,0.000947772,0.00049598,-0.183201,0.262682,-9.77483
1691392226231729700,0.00146927,3.2172e-05,0.000405378,-0.193098,0.297533,-9.78757
1691392226240688100,0.000698635,0.00132714,0.000185521,-0.167416,0.286049,-9.76787
1691392226248424800,0.00224296,-0.000343254,2.85583e-05,-0.223999,0.315043,-9.8668
1691392226256838300,0.00064493,0.000685904,0.000978662,-0.162451,0.301837,-9.80652
1691392226265118500,-0.000385584,-0.000340688,0.000921189,-0.20974,0.259483,-9.77763
1691392226273448000,0.00156065,-0.00075441,-0.00124678,-0.162661,0.274934,-9.80048
1691392226281758900,0.00151728,-0.000629859,0.000247291,-0.205379,0.291208,-9.82636
1691392226290089800,0.000387855,0.000880135,0.00266099,-0.172863,0.247417,-9.79652
1691392226301220500,4.95592e-05,0.000545156,0.00050274,-0.15746,0.290123,-9.79042
1691392226306714900,-0.00301911,-0.0012212,-0.000384834,-0.229875,0.241291,-9.74753
1691392226315437800,-0.000223403,-0.000336451,0.000327071,-0.139135,0.280433,-9.81449
1691392226323371100,0.00050124,0.000187235,-0.000852793,-0.157156,0.285262,-9.75395
1691392226332212200,0.000164818,-0.000556914,-0.00156687,-0.215351,0.248136,-9.7793
1691392226340036800,-0.00055547,0.000646664,-0.000821876,-0.227102,0.287008,-9.8001
1691392226348443400,0.000977182,-0.000997713,0.00112166,-0.256333,0.252443,-9.74513
1691392226356725600,-0.000772304,0.00160352,-0.00199655,-0.197994,0.28645,-9.78555
1691392226365085800,-0.000584955,0.000536598,0.00199023,-0.272586,0.258906,-9.7997
1691392226373391300,-4.88896e-05,-0.000534385,0.000769384,-0.195592,0.2721,-9.82753
1691392226381808400,0.000451443,0.000519993,0.00164861,-0.200382,0.233685,-9.8293
1691392226390065900,-0.000768449,0.000984143,-0.000736222,-0.247125,0.229239,-9.79322
1691392226398443800,-0.000407167,0.0017639,-0.000244083,-0.167732,0.306797,-9.81252
1691392226406726800,-0.000391286,0.000859379,0.000203025,-0.188665,0.272315,-9.83918
1691392226415130900,0.00128207,0.000506391,0.000246237,-0.231889,0.273421,-9.77262
1691392226423416000,0.000745521,0.000977727,-0.000837255,-0.16486,0.264265,-9.78565
1691392226431761300,9.60355e-05,-0.000354812,-0.00107581,-0.209926,0.27474,-9.80587
1691392226440085700,0.000585516,0.000617136,-0.000116439,-0.229415,0.261532,-9.78949
1691392226448559600,-0.000614024,-0.000229346,-0.00113959,-0.212513,0.271222,-9.75859
1691392226456777300,0.000990069,-0.000208039,3.61502e-05,-0.199997,0.302282,-9.79949
1691392226465168300,0.000273163,0.000112938,0.00137912,-0.192754,0.252669,-9.77005
1691392226473425300,0.000162976,-0.000619124,0.000943998,-0.201982,0.275535,-9.79723
1691392226481738300,-0.00131415,-8.56375e-05,-0.00027213,-0.221964,0.289114,-9.77914
1691392226490124100,-0.000128983,-0.00169471,0.000347544,-0.186459,0.244997,-9.82541
1691392226498543200,-0.000104354,-0.000120895,0.000805593,-0.222192,0.267916,-9.78122
1691392226506792400,0.00143865,-0.000615375,0.00183968,-0.182107,0.280923,-9.80129
1691392226515197100,0.00172315,0.000101429,-0.000829469,-0.197616,0.286107,-9.81351
1691392226523602500,0.000858372,-0.000258306,0.00043105,-0.191787,0.252782,-9.83358
1691392226532344600,-0.00075357,0.000488634,-0.000420453,-0.205241,0.248367,-9.82473
1691392226540404700,0.00121192,-0.000245412,0.000150405,-0.176384,0.253113,-9.79827
1691392226548867900,0.000312649,0.000671163,0.000311968,-0.201316,0.282378,-9.86529
1691392226556897800,6.9649e-05,0.00141089,0.000470529,-0.206512,0.288665,-9.7758
1691392226565657400,-0.00168719,-0.000264653,0.00130428,-0.206637,0.290594,-9.8513
1691392226573607500,-0.00127783,-0.00200233,0.000144005,-0.209626,0.28278,-9.78017
1691392226581967000,0.000420921,0.0013948,0.000327043,-0.203154,0.278473,-9.77793
1691392226590304500,-0.000910572,-0.000746943,0.00193674,-0.205904,0.246289,-9.81535
1691392226598635900,-0.00111357,0.000425433,-0.00137552,-0.18703,0.279503,-9.83075
1691392226606906600,-0.00131832,0.000404474,0.000217454,-0.229069,0.282651,-9.77055
1691392226615251500,4.8784e-05,0.00014256,0.000898045,-0.151904,0.248766,-9.83921
1691392226623557100,0.00034702,0.00176614,0.000445127,-0.176977,0.273825,-9.80666
1691392226632275100,0.0025399,-0.000240453,0.000664614,-0.164912,0.238473,-9.79431
1691392226640225100,0.0017621,-0.00200747,0.0006476,-0.249956,0.225368,-9.77
1691392226648887300,-0.00280929,-0.000296241,-0.00126529,-0.164187,0.277151,-9.82469
1691392226657099600,0.000627572,-9.24057e-05,0.000807039,-0.216672,0.25313,-9.8238
1691392226665299700,0.000201828,0.000978181,0.000309637,-0.218476,0.294635,-9.81522
1691392226673582600,-0.00106928,-0.000652882,0.00041292,-0.179725,0.26779,-9.79243
1691392226681935600,-0.00123174,-0.000529218,-0.000650209,-0.213209,0.35406,-9.78015
1691392226690231000,0.000194744,9.58572e-05,-0.000100617,-0.194436,0.268861,-9.83001
1691392226698569500,-0.0015976,0.000384329,0.00142769,-0.211383,0.276704,-9.81806
1691392226707231700,0.000835036,-0.00200966,-0.000764119,-0.186284,0.215466,-9.81556
1691392226715239900,0.000604257,0.000704272,-0.000326988,-0.241035,0.266767,-9.80533
1691392226723545000,-0.00178403,-0.00114826,0.000409406,-0.192275,0.276454,-9.7587
1691392226731898700,0.000933626,0.000266333,0.000441349,-0.193359,0.28927,-9.82956
1691392226740180200,0.000335225,0.00193555,0.000885731,-0.1861,0.317276,-9.83716
1691392226748560000,-0.000437157,0.00120975,0.00150347,-0.230154,0.272769,-9.82516
1691392226757000700,-0.00144275,0.00126294,-0.000638885,-0.19565,0.269935,-9.80836
1691392226765271200,-0.000525444,-0.000449491,-0.000318851,-0.194177,0.271035,-9.76879
1691392226773512700,0.00129945,0.00174297,-0.0011975,-0.16455,0.330214,-9.85433
1691392226781836000,6.39887e-05,-0.000773689,0.00255959,-0.186151,0.305248,-9.81455
1691392226790182300,-0.000469857,0.000450927,-0.000894286,-0.205798,0.287723,-9.80382
1691392226798497800,-0.000902034,-0.000105607,-0.000201508,-0.258791,0.32246,-9.76325
1691392226806841900,-0.000174342,0.00137833,0.00040454,-0.220055,0.26835,-9.77958
1691392226815182000,0.00250039,-0.000520168,-2.79243e-05,-0.192457,0.298663,-9.79786
1691392226823499500,4.65817e-05,0.000198116,0.000128734,-0.176848,0.253932,-9.83164
1691392226831836500,-0.000354549,-0.000773901,0.000954592,-0.229415,0.315629,-9.76125
1691392226840153600,9.40075e-05,0.000151673,0.000421868,-0.207083,0.263187,-9.81065
1691392226848504100,-0.000542348,-0.000123557,-0.000829256,-0.221632,0.26279,-9.79997
1691392226856835400,-0.000490957,0.00103152,0.000283677,-0.197982,0.211122,-9.76856
1691392226865437500,0.000683497,-0.0011751,-6.24033e-05,-0.19541,0.249253,-9.79885
1691392226873566200,-0.000676776,-0.000207802,-0.000744361,-0.182687,0.254778,-9.80242
1691392226882029200,-9.40583e-05,-0.000166214,9.27362e-05,-0.208695,0.285787,-9.79453
1691392226890187900,0.0010572,-0.000707941,-6.40866e-05,-0.239026,0.279904,-9.80751
1691392226898557100,-0.00259267,0.000140688,0.000383045,-0.207909,0.259119,-9.76685
1691392226906850700,0.00187721,0.000532086,-0.00140505,-0.199929,0.224295,-9.79647
1691392226915277100,0.00131357,0.00115347,-0.000413035,-0.221654,0.300248,-9.80014
1691392226923515200,0.000448698,-0.000657621,0.00114737,-0.156634,0.277039,-9.78136
1691392226931894000,0.000431208,-0.000292933,0.0011411,-0.200425,0.268442,-9.81063
1691392226940174100,-0.000218936,-0.000852954,-3.85139e-05,-0.17904,0.323228,-9.81969
1691392226948594700,0.000440357,-0.00146122,-6.82178e-05,-0.139303,0.294925,-9.76876
1691392226956844900,0.000498327,0.000107789,0.000813128,-0.136006,0.25632,-9.77961
1691392226965218500,0.00023462,0.000398165,-0.000215853,-0.216641,0.264704,-9.81176
1691392226973512900,-0.00042451,0.000125091,0.000573246,-0.204681,0.256544,-9.80147
1691392226981896000,0.000517451,-0.000696354,0.00134993,-0.188593,0.261931,-9.82811
1691392226990273100,-0.00131767,0.00159969,0.00086772,-0.232151,0.234546,-9.73947
1691392226998597800,-0.000219161,0.000435666,-0.00183883,-0.194572,0.236571,-9.81738
1691392227006880200,-0.000503338,-3.45427e-05,0.00102309,-0.19809,0.29875,-9.77087
1691392227015285700,-0.000295468,-0.000157198,-0.00134825,-0.211925,0.290043,-9.81029
1691392227023557300,0.000943952,-0.000456082,-0.000131016,-0.239967,0.2706,-9.73024
1691392227031915200,0.000162084,-0.000575776,-0.000676807,-0.212504,0.258775,-9.80569
1691392227040192900,-0.000279453,0.0014113,0.00115569,-0.21196,0.208917,-9.77734
1691392227048571800,0.000522833,-0.000907374,-0.000458623,-0.19676,0.269936,-9.80798
1691392227056861000,0.000741973,-0.000417232,-0.000249178,-0.239889,0.253678,-9.78223
1691392227065218800,0.000307004,0.000898459,0.000301825,-0.211659,0.281762,-9.82651
1691392227073594900,-0.000423959,0.000146199,-0.00115639,-0.213296,0.183039,-9.82627
1691392227081918600,-0.000720001,0.000663431,-0.000259976,-0.251125,0.277186,-9.80081
1691392227090222600,-5.80122e-05,-0.000518779,-0.000372065,-0.146244,0.259998,-9.78514
1691392227098575300,0.00141408,-0.00153617,0.00102572,-0.187224,0.236532,-9.80984
1691392227106861700,3.47105e-05,7.32636e-05,0.000288136,-0.148983,0.261024,-9.79131
1691392227115479300,-0.00111493,0.00115577,0.00100779,-0.148156,0.287726,-9.76379
1691392227123525900,0.000342912,0.000197173,0.000583097,-0.151218,0.245001,-9.87271
1691392227131992900,0.000731991,0.00114483,-0.00075364,-0.177024,0.258727,-9.77921
1691392227140180600,-0.00094602,-0.000174327,-0.000229114,-0.219563,0.275362,-9.81277
1691392227148563000,-0.00135492,-0.000240531,0.000136177,-0.210856,0.290847,-9.83115
1691392227156867000,-0.00154482,0.000538903,-0.000518306,-0.166802,0.267743,-9.76363
1691392227165247500,0.000928467,0.000101735,0.000283796,-0.201709,0.246267,-9.76363
1691392227173532600,0.000181917,0.000242416,0.000324318,-0.210401,0.268175,-9.84206
1691392227182016600,-0.00118168,-0.000284614,0.000744621,-0.249778,0.27645,-9.79096
1691392227190217500,0.000818703,-0.000305792,-0.000175873,-0.201207,0.24941,-9.75821
1691392227198578700,-0.00128921,-0.000478671,0.000578297,-0.202801,0.288864,-9.81547
1691392227206849800,0.00105744,-0.00051108,0.000631465,-0.240883,0.256942,-9.81275
1691392227215288900,0.000995205,0.00245546,-0.0010125,-0.18294,0.278562,-9.82478
1691392227223550300,-0.000513921,0.0009289,-0.00102891,-0.0995617,0.278621,-9.81102
1691392227231912700,-0.00097852,0.000819191,9.98805e-05,-0.2326,0.259619,-9.81457
1691392227240223100,0.001031,0.000148933,0.00052308,-0.201552,0.282309,-9.85696
1691392227248567300,-0.000423468,-0.000200546,-0.00107242,-0.209355,0.28625,-9.80757
1691392227256911100,0.000433215,-0.000856671,0.00243734,-0.182567,0.24565,-9.82738
1691392227265250100,0.000975528,-0.000406975,-0.000693583,-0.192326,0.293553,-9.80797
