#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1.6913922280985907e+18,-0.00890174,-0.00269009,0.536553,0.999854,-0.0136983,-0.0101936,-0.000649619,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.691392228206828e+18,-0.00890038,-0.00269285,0.53672,0.999854,-0.0137058,-0.0101971,-0.000650541,7.41029e-05,-0.000147131,0.000473014,-0.000384856,0.000130446,-6.03047e-05,0.000493916,-0.000935725,-0.0293032
1.6913922283152438e+18,-0.0088884,-0.00271063,0.536696,0.999854,-0.0137068,-0.0101938,-0.000651573,9.31117e-05,-0.000184755,-0.000519792,0.0,0.0,0.0,6.2401e-06,0.000152384,-0.00219026
1.6913922284235108e+18,-0.00888007,-0.00273943,0.536641,0.999854,-0.013693,-0.0101957,-0.000652789,8.97275e-05,-0.000176042,-0.000477379,6.36966e-05,-0.000243073,-6.65649e-06,4.25892e-05,0.000886836,0.00231743
1.6913922285318879e+18,-0.00886893,-0.00275895,0.536605,0.999854,-0.0136896,-0.0101933,-0.000654053,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0103669,0.0201527,0.0310666
1.6913922286485386e+18,-0.00885882,-0.00277445,0.536589,0.999854,-0.0136936,-0.0101922,-0.000655677,8.42108e-05,-0.00015778,-0.000138728,0.0,0.0,0.0,-1.1587e-05,-0.00015403,-0.000361332
1.691392228756854e+18,-0.00884829,-0.00279008,0.536577,0.999854,-0.0136962,-0.0101898,-0.000657268,8.55668e-05,-0.000167638,-0.000200382,0.000190921,0.000130221,-6.02994e-05,-0.000237963,-0.00118756,0.00168834
1.6913922288652116e+18,0.00872005,-0.005789,0.537062,0.999841,-0.0139229,-0.0104938,-0.00364474,0.496243,-0.0894283,0.0146916,-0.0137667,-0.0144225,-0.159257,7.16845,-0.908966,0.198447
1.691392228973542e+18,0.0993398,-0.0120278,0.539291,0.999786,-0.0149761,-0.0115625,-0.00835305,0.999351,-0.0309195,0.0238557,-0.0232062,-0.0195053,-0.00626996,0.914719,0.180474,0.0250114
1.6913922290903145e+18,0.21742,-0.0145371,0.54192,0.99975,-0.0164318,-0.0126048,-0.0084223,1.00934,-0.0318248,0.0196943,-0.0387435,-0.00998937,0.00171968,-0.578866,-0.193655,-0.275314
1.691392229198567e+18,0.321864,-0.0169393,0.541872,0.999744,-0.0178249,-0.0110161,-0.00850488,0.901431,-0.0288799,-0.0112081,-0.0221111,0.0443554,-0.00111107,-1.10946,0.0311145,-0.102863
