1691392224680000000,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392225018989312,1.01747,-0.0394073,-0.738692,0.999852,-0.0138034,-0.0102841,-0.000637026
1691392225018989312,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392225346777856,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392225463043584,1.01768,-0.0396621,-0.738701,0.999849,-0.0139392,-0.0103972,-0.000638401
1691392225572539648,1.01774,-0.0397202,-0.738615,0.999848,-0.0139743,-0.0104256,-0.000638365
1691392225681747200,1.01779,-0.0397763,-0.73854,0.999847,-0.0140063,-0.0104533,-0.000638287
1691392225790134016,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392225898586880,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392226006703104,1.01785,-0.0398379,-0.738614,0.999846,-0.0140353,-0.0104842,-0.000638492
1691392226115264000,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392226231726592,1.0179,-0.0398895,-0.738483,0.999846,-0.0140691,-0.0105145,-0.000638208
1691392226340033792,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392226448555776,1.01792,-0.0399035,-0.738514,0.999845,-0.0140729,-0.0105219,-0.000638085
1691392226556893952,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392226673577728,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392226781832192,1.01791,-0.0398912,-0.738608,0.999846,-0.0140643,-0.0105167,-0.000638454
1691392226890182912,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392226998590464,1.01792,-0.0398955,-0.738607,0.999846,-0.0140665,-0.0105198,-0.000638521
1691392227106857984,1.01793,-0.0399122,-0.738538,0.999845,-0.0140801,-0.0105306,-0.000638549
1691392227223546112,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392227331890176,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392227440248320,1.01792,-0.0398949,-0.738623,0.999846,-0.0140659,-0.0105204,-0.000638523
1691392227548646656,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392227656865792,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392227773566976,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392227881932800,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392227990246144,1.01788,-0.039855,-0.738752,0.999846,-0.0140417,-0.0104986,-0.000638761
1691392228098590720,1.01737,-0.0393375,-0.742287,0.999854,-0.0136983,-0.0101934,-0.000649616
1691392228206828032,1.01738,-0.0393613,-0.742112,0.999854,-0.0137058,-0.0101971,-0.000650541
1691392228315243776,1.01738,-0.039384,-0.742143,0.999854,-0.0137068,-0.0101938,-0.000651573
1691392228423510784,1.01739,-0.0393795,-0.742195,0.999854,-0.013693,-0.0101957,-0.000652789
1691392228531887872,1.01791,-0.0399006,-0.738704,0.999846,-0.0140402,-0.0105009,-0.000642505
1691392228648538624,1.01793,-0.0399429,-0.738639,0.999846,-0.0140551,-0.0105124,-0.000643356
1691392228756854016,1.01741,-0.0394478,-0.742271,0.999854,-0.0136962,-0.0101898,-0.000657268
1691392228865211648,1.01796,-0.0399941,-0.738643,0.999846,-0.0140572,-0.0105144,-0.000646337
1691392228973541888,1.12866,-0.0675646,-0.736408,0.999786,-0.0149761,-0.0115625,-0.00835305
1691392229090314496,1.24936,-0.0739512,-0.731485,0.99975,-0.0164318,-0.0126048,-0.0084223
1691392229198566912,1.24922,-0.0746218,-0.728859,0.999744,-0.0168446,-0.0125276,-0.00841883
1691392229306888192,1.43554,-0.0853313,-0.740893,0.999748,-0.0188789,-0.00853649,-0.00862304
1691392229415263744,1.50885,-0.0898871,-0.746476,0.999746,-0.019781,-0.00633546,-0.00873719
1691392229523722240,1.57104,-0.0938253,-0.750965,0.99974,-0.0205449,-0.00454066,-0.0088427
1691392229632030720,1.62323,-0.0961845,-0.754912,0.999741,-0.0207655,-0.00277767,-0.008896
1691392229748614144,1.67,-0.0976483,-0.758682,0.999746,-0.0206905,-0.00092599,-0.00894306
1691392229856892160,1.70629,-0.098846,-0.761558,0.999747,-0.0206291,0.000518892,-0.00898112
1691392229956154368,1.73026,-0.0997242,-0.7634,0.999746,-0.0206045,0.00144926,-0.00900641
1691392230065788160,1.72987,-0.0995361,-0.761467,0.999747,-0.0205412,0.00164259,-0.0090105
1691392230189290752,1.78507,-0.102319,-0.767558,0.999741,-0.0205585,0.00354493,-0.00906073
1691392230297538816,1.80282,-0.102717,-0.769001,0.999739,-0.0205472,0.00421039,-0.00907366
1691392230405890304,1.80291,-0.102476,-0.766585,0.999741,-0.0204649,0.00415936,-0.00907265
1691392230514223616,1.81785,-0.102778,-0.767531,0.999739,-0.0204437,0.00465201,-0.00908311
1691392230622670080,1.83031,-0.103048,-0.768294,0.999737,-0.0204349,0.00504994,-0.00909174
1691392230739213824,1.84929,-0.103772,-0.772341,0.99973,-0.0205233,0.00593857,-0.00911049
1691392230847589120,1.85599,-0.104336,-0.77281,0.999728,-0.0205217,0.0061799,-0.00921231
